GamePark - GP32 Missing

Boxarts  27/28  96.43%
Snaps    27/28  96.43%
Titles   27/28  96.43%
Total    81/84  96.43%

Name                                                               Boxart  Snap  Title
Astonishia Story R (Korea)                                            -      -     -
Blue Angelo - Angels from the Shrine (Europe) (En,Fr,De,Es,It,Pt)     -      -     -
Dooly Soccer 2002 (Korea)                                             -      -     -
Dungeon _ Guarder - Dragon Gore (Europe)                              -      -     -
Dungeon _ Guarder - Dragon Gore (Korea) (En)                          ✗      ✗     ✗
Dyhard - With Infinite Stairs (Europe)                                -      -     -
Dyhard - With Infinite Stairs (Korea)                                 -      -     -
GP Fight (Korea)                                                      -      -     -
Hany Party Game (Korea)                                               -      -     -
Her Knights - All for Princess - Deadline (Korea)                     -      -     -
Her Knights - All for the Princess (Europe)                           -      -     -
Kimchiman GP32 (Korea)                                                -      -     -
Little Girl Mill of a Gingko, The (Korea)                             -      -     -
Little Wizard (Europe)                                                -      -     -
Little Wizard (Korea)                                                 -      -     -
OneShot Voca (Korea)                                                  -      -     -
Princess Maker 2 (Korea)                                              -      -     -
Rally Pop (Korea)                                                     -      -     -
Raphael (Korea)                                                       -      -     -
Tanggle's Magic Square (Korea)                                        -      -     -
Therapy (Korea)                                                       -      -     -
Tomak - Save the Earth, Again (Europe) (v1.0)                         -      -     -
Tomak - Save the Earth, Again (Europe) (v2.0)                         -      -     -
Tomak - Save the Earth, Again (Korea)                                 -      -     -
W.B.W. - Wanna Be Wizard! (Korea)                                     -      -     -
Wizard Slayer (Korea)                                                 -      -     -
Woody _ Kunta - Treasure Island (Europe)                              -      -     -
Woody _ Kunta - Treasure Island (Korea)                               -      -     -
