Sega - 32X Missing

Boxarts    60/60  100.00%
Snaps      60/60  100.00%
Titles     60/60  100.00%
Total    180/180  100.00%

Name                                                                Boxart  Snap  Title
32X Sample Program - PWM Sound Demo (USA) (SDK Build)                  ✓      ✓     ✓
After Burner Complete (Europe)                                         ✓      ✓     ✓
After Burner Complete ~ After Burner (Japan, USA)                      ✓      ✓     ✓
Amazing Spider-Man, The - Web of Fire (USA)                            ✓      ✓     ✓
BC Racers (USA)                                                        ✓      ✓     ✓
Blackthorne (USA)                                                      ✓      ✓     ✓
Brutal Unleashed - Above the Claw (USA)                                ✓      ✓     ✓
Chaotix ~ Knuckles' Chaotix (Japan, USA)                               ✓      ✓     ✓
Cosmic Carnage (Europe)                                                ✓      ✓     ✓
Cyber Brawl ~ Cosmic Carnage (Japan, USA)                              ✓      ✓     ✓
Darxide (Europe) (En,Fr,De,Es)                                         ✓      ✓     ✓
Doom (Europe)                                                          ✓      ✓     ✓
Doom (Japan, USA)                                                      ✓      ✓     ✓
ECCO the Dolphin CinePak Demo (Japan, USA) (Developer Cart)            ✓      ✓     ✓
FIFA Soccer '96 (Europe) (En,Fr,De,Es,It,Sv)                           ✓      ✓     ✓
Golf Magazine 36 Great Holes Starring Fred Couples (Europe)            ✓      ✓     ✓
Golf Magazine 36 Great Holes Starring Fred Couples (Japan, USA)        ✓      ✓     ✓
Knuckles' Chaotix (Europe)                                             ✓      ✓     ✓
Kolibri (USA, Europe)                                                  ✓      ✓     ✓
Mars Check Program Version 1.0 (Japan, USA) (SDK Build) (Set 1)        ✓      ✓     ✓
Mars Check Program Version 1.0 (Japan, USA) (SDK Build) (Set 2)        ✓      ✓     ✓
Mars Sample Program - Gnu Sierra (Japan, USA) (SDK Build)              ✓      ✓     ✓
Mars Sample Program - Pharaoh (Japan, USA) (SDK Build)                 ✓      ✓     ✓
Mars Sample Program - Runlength Mode Test (Japan, USA) (SDK Build)     ✓      ✓     ✓
Mars Sample Program - Texture Test (Japan, USA) (SDK Build)            ✓      ✓     ✓
Metal Head (Europe) (En,Ja)                                            ✓      ✓     ✓
Metal Head (Japan, USA) (En,Ja)                                        ✓      ✓     ✓
Mortal Kombat II (Europe)                                              ✓      ✓     ✓
Mortal Kombat II (Japan, USA)                                          ✓      ✓     ✓
Motocross Championship (Europe)                                        ✓      ✓     ✓
Motocross Championship (USA)                                           ✓      ✓     ✓
NBA Jam - Tournament Edition (World)                                   ✓      ✓     ✓
NFL Quarterback Club (World)                                           ✓      ✓     ✓
Parasquad ~ Zaxxon's Motherbase 2000 (Japan, USA)                      ✓      ✓     ✓
Pitfall - The Mayan Adventure (USA)                                    ✓      ✓     ✓
Primal Rage (USA, Europe)                                              ✓      ✓     ✓
RBI Baseball '95 (USA)                                                 ✓      ✓     ✓
Sangokushi IV (Japan)                                                  ✓      ✓     ✓
Shadow Squadron ~ Stellar Assault (USA, Europe)                        ✓      ✓     ✓
Soulstar X (USA) (Proto)                                               ✓      ✓     ✓
Space Harrier (Europe)                                                 ✓      ✓     ✓
Space Harrier (Japan, USA)                                             ✓      ✓     ✓
Star Trek - Starfleet Academy - Starship Bridge Simulator (USA)        ✓      ✓     ✓
Star Wars Arcade (Europe)                                              ✓      ✓     ✓
Star Wars Arcade (Japan)                                               ✓      ✓     ✓
Star Wars Arcade (USA)                                                 ✓      ✓     ✓
Stellar Assault (Japan)                                                ✓      ✓     ✓
T-Mek (USA, Europe)                                                    ✓      ✓     ✓
Tempo (Japan, USA)                                                     ✓      ✓     ✓
Toughman Contest (USA, Europe)                                         ✓      ✓     ✓
Virtua Fighter (Europe)                                                ✓      ✓     ✓
Virtua Fighter (Japan, USA)                                            ✓      ✓     ✓
Virtua Hamster (USA) (Proto)                                           ✓      ✓     ✓
Virtua Racing Deluxe (Europe)                                          ✓      ✓     ✓
Virtua Racing Deluxe (Japan)                                           ✓      ✓     ✓
Virtua Racing Deluxe (USA)                                             ✓      ✓     ✓
World Series Baseball Starring Deion Sanders (USA)                     ✓      ✓     ✓
WWF Raw (World)                                                        ✓      ✓     ✓
WWF WrestleMania - The Arcade Game (USA)                               ✓      ✓     ✓
X-Men (USA) (Proto)                                                    ✓      ✓     ✓
